Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Option_Price
2023-07-25,16896.9,0.006214308695891705,0.0986490922770934,0.102425,0.0715,0.00028373015873015873,2.648340932228166
2023-07-26,16975.0,0.005998701515666711,0.09522643439856208,0.104575,0.0715,0.00028373015873015873,2.5686046543250995
2023-07-27,16919.2,0.005891575512325387,0.09352586181582559,0.105125,0.0714,0.00028333333333333335,2.514598455853047
2023-07-28,16948.35,0.005887147614756448,0.09345557112103589,0.10135,0.0716,0.0002841269841269841,2.5170716332395386
2023-07-31,17059.0,0.005699609421053152,0.09047849458984482,0.104125,0.0716,0.0002841269841269841,2.4531057135227456
2023-08-01,17051.15,0.005764835177935721,0.09151392138056824,0.102825,0.0715,0.00028373015873015873,2.4799133151809656
2023-08-02,16858.95,0.005615958065555313,0.08915057048896038,0.112775,0.0714,0.00028333333333333335,2.3888702591812034
2023-08-03,16772.3,0.006766252296081042,0.10741092530010128,0.11185,0.0714,0.00028333333333333335,2.8614442805228464
2023-08-04,16890.6,0.006816855218596474,0.10821422179163472,0.105725,0.0715,0.00028373015873015873,2.903119944054197
2023-08-07,16956.35,0.006790094438817263,0.10778940758251895,0.111025,0.0715,0.00028373015873015873,2.9030173858536727
2023-08-08,16949.25,0.006572211129896216,0.10433061728109724,0.11325,0.0715,0.00028373015873015873,2.8089944647108496
2023-08-09,17003.85,0.006347410563825285,0.10076201892663587,0.1114,0.0715,0.00028373015873015873,2.7219811038667103
2023-08-10,16939.85,0.006146521888592616,0.09757301007138672,0.114,0.0716,0.0002841269841269841,2.626228330509548
2023-08-11,16860.15,0.00615019876555991,0.09763137868372775,0.115225,0.0718,0.0002849206349206349,2.6154567737885372
2023-08-14,16825.55,0.006238525183000875,0.09903351709220418,0.11995,0.0717,0.00028452380952380954,2.647424141290685
2023-08-17,16802.25,0.0061130305242579315,0.09704135114479971,0.1224,0.072,0.0002857142857142857,2.5908069761389925
2023-08-18,16757.7,0.005966284628636038,0.09471183227038987,0.121425,0.0718,0.0002849206349206349,2.522111252779723
2023-08-21,16852.05,0.005906650942292647,0.09376517684743002,0.1196,0.0721,0.0002861111111111111,2.5110959934663697
2023-08-22,16905.25,0.005874010547623514,0.09324702664549288,0.117475,0.0721,0.0002861111111111111,2.5051561735508585
2023-08-23,16950.25,0.00571529680803458,0.09072752413788457,0.117275,0.0721,0.0002861111111111111,2.4442166386015742
2023-08-24,16930.15,0.005557969373804737,0.08823002854560434,0.117,0.0721,0.0002861111111111111,2.374380252074843
2023-08-25,16820.85,0.005458144893204426,0.08664536404305666,0.120825,0.0721,0.0002861111111111111,2.3168533665266295
2023-08-28,16875.3,0.005855843334053894,0.09295863107077161,0.123975,0.0721,0.0002861111111111111,2.4930133905490948
2023-08-29,16927.3,0.005701469970997631,0.09050802990457425,0.12225,0.072,0.0002857142857142857,2.4350119981991156
2023-08-30,16968.95,0.005557003259337318,0.08821469195389148,0.118,0.0719,0.00028531746031746036,2.3793830038321175
2023-08-31,16924.3,0.005410333209486981,0.08588637709377886,0.120625,0.0717,0.00028452380952380954,2.31071346142744
2023-09-01,17074.55,0.005413554747193882,0.08593751741944892,0.11365,0.0717,0.00028452380952380954,2.332609793420488
2023-09-04,17180.95,0.005778456646377639,0.09173015548850122,0.109625,0.0715,0.00028373015873015873,2.504672752795159
2023-09-05,17252.1,0.0058080137816152325,0.09219936046433827,0.10815,0.0714,0.00028333333333333335,2.5278463237373217
2023-09-06,17284.6,0.005695492161191527,0.09041313511578349,0.106775,0.0712,0.00028253968253968254,2.483704270889575
2023-09-07,17385.5,0.00552693730266868,0.08773740968824471,0.108725,0.0714,0.00028333333333333335,2.4245867656918563
2023-09-08,17487.45,0.00555555115752779,0.08819164055229332,0.1078,0.0714,0.00028333333333333335,2.4513798039952235
2023-09-11,17653.35,0.005582734448328686,0.08862316191594645,0.113475,0.0714,0.00028333333333333335,2.4866952614829643
2023-09-12,17460.55,0.005997474507370467,0.09520695624571124,0.1169,0.0714,0.00028333333333333335,2.6415243949650176
2023-09-13,17526.75,0.006985374267433821,0.11088937875803932,0.118275,0.0714,0.00028333333333333335,3.0866726235217357
2023-09-14,17603.5,0.006746168171929883,0.1070920997132742,0.113175,0.0714,0.00028333333333333335,2.994366404334869
2023-09-15,17665.8,0.006552948659420606,0.10402483504200613,0.109025,0.0715,0.00028373015873015873,2.9191963807679713
